,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date,name,final_volume
24,89.34,92.07,88.43,91.53,54596079.0,92.07,88.43,91.53,89.34,54596079.0,AMD,XNAS,2021-01-21 00:00:00+00:00,Advanced Micro Devices Inc,54596079.0
23,94.42,95.95,91.88,92.79,71294707.0,95.95,91.88,92.79,94.42,71294707.0,AMD,XNAS,2021-01-22 00:00:00+00:00,Advanced Micro Devices Inc,71294707.0
22,94.14,95.74,91.4,94.13,55086943.0,95.74,91.4,94.13,94.14,55086943.0,AMD,XNAS,2021-01-25 00:00:00+00:00,Advanced Micro Devices Inc,55086943.0
21,94.91,95.7171,93.63,94.71,59449053.0,95.7171,93.63,94.71,94.91,59449053.0,AMD,XNAS,2021-01-26 00:00:00+00:00,Advanced Micro Devices Inc,59449053.0
20,91.1,91.88,86.22,88.84,73341193.0,91.88,86.22,88.84,91.1,73341193.0,AMD,XNAS,2021-01-27 00:00:00+00:00,Advanced Micro Devices Inc,73341193.0
19,89.83,89.88,87.3,87.52,47048362.0,89.88,87.3,87.52,89.83,47048362.0,AMD,XNAS,2021-01-28 00:00:00+00:00,Advanced Micro Devices Inc,47048362.0
18,87.56,88.33,85.02,85.64,56735828.0,88.33,85.02,85.64,87.56,56735828.0,AMD,XNAS,2021-01-29 00:00:00+00:00,Advanced Micro Devices Inc,56735828.0
17,86.83,87.95,84.66,87.66,42359344.0,87.95,84.66,87.66,86.83,42359344.0,AMD,XNAS,2021-02-01 00:00:00+00:00,Advanced Micro Devices Inc,42359344.0
16,88.49,89.28,86.95,88.86,33671407.0,89.28,86.95,88.86,88.49,33671407.0,AMD,XNAS,2021-02-02 00:00:00+00:00,Advanced Micro Devices Inc,33671407.0
15,88.6,89.48,87.34,87.89,32312885.0,89.48,87.34,87.89,88.6,32312885.0,AMD,XNAS,2021-02-03 00:00:00+00:00,Advanced Micro Devices Inc,32312885.0
14,88.22,88.6,87.06,87.84,30791641.0,88.6,87.06,87.84,88.22,30791641.0,AMD,XNAS,2021-02-04 00:00:00+00:00,Advanced Micro Devices Inc,30791641.0
13,88.15,88.36,86.875,87.9,30268677.0,88.36,86.875,87.9,88.15,30268677.0,AMD,XNAS,2021-02-05 00:00:00+00:00,Advanced Micro Devices Inc,30268677.0
12,88.31,91.99,87.98,91.47,47639887.0,91.99,87.98,91.47,88.31,47639887.0,AMD,XNAS,2021-02-08 00:00:00+00:00,Advanced Micro Devices Inc,47639887.0
11,91.39,93.3,90.55,90.91,37378124.0,93.3,90.55,90.91,91.39,37378124.0,AMD,XNAS,2021-02-09 00:00:00+00:00,Advanced Micro Devices Inc,37378124.0
10,91.5,93.27,90.46,92.35,42232296.0,93.27,90.46,92.35,91.5,42232296.0,AMD,XNAS,2021-02-10 00:00:00+00:00,Advanced Micro Devices Inc,42232296.0
9,92.9,93.65,91.33,92.66,35571025.0,93.65,91.33,92.66,92.9,35571025.0,AMD,XNAS,2021-02-11 00:00:00+00:00,Advanced Micro Devices Inc,35571025.0
8,92.75,94.22,91.9,93.77,38538353.0,94.22,91.9,93.77,92.75,38538353.0,AMD,XNAS,2021-02-12 00:00:00+00:00,Advanced Micro Devices Inc,38538353.0
7,93.9,94.0,90.7499,91.46,35105917.0,94.0,90.7499,91.46,93.9,35105917.0,AMD,XNAS,2021-02-16 00:00:00+00:00,Advanced Micro Devices Inc,35105917.0
6,90.56,90.96,88.5701,89.94,32154497.0,90.96,88.5701,89.94,90.56,32154497.0,AMD,XNAS,2021-02-17 00:00:00+00:00,Advanced Micro Devices Inc,32154497.0
5,89.09,89.6,87.31,88.64,35624948.0,89.6,87.31,88.64,89.09,35624948.0,AMD,XNAS,2021-02-18 00:00:00+00:00,Advanced Micro Devices Inc,35624948.0
4,89.75,90.4163,88.69,89.58,29548273.0,90.4163,88.69,89.58,89.75,29548273.0,AMD,XNAS,2021-02-19 00:00:00+00:00,Advanced Micro Devices Inc,29548273.0
3,88.15,88.3,85.21,85.37,36687365.0,88.3,85.21,85.37,88.15,36686163.0,AMD,XNAS,2021-02-22 00:00:00+00:00,Advanced Micro Devices Inc,36686163.0
2,83.4,85.11,79.36,84.74,49720914.0,85.11,79.36,84.74,83.4,49720914.0,AMD,XNAS,2021-02-23 00:00:00+00:00,Advanced Micro Devices Inc,49720914.0
1,84.33,87.09,82.81,86.94,40391674.0,87.09,82.81,86.94,84.33,40821150.0,AMD,XNAS,2021-02-24 00:00:00+00:00,Advanced Micro Devices Inc,40821150.0
0,86.17,87.09,81.92,82.42,54277528.0,87.09,81.92,82.42,86.17,54275246.0,AMD,XNAS,2021-02-25 00:00:00+00:00,Advanced Micro Devices Inc,54275246.0
55,190.97,203.4225,186.1,198.78,11898786.0,203.4225,186.1,198.78,190.97,11898786.0,SE,XNYS,2020-12-04 00:00:00+00:00,Sea Ltd,11898786.0
54,200.0,200.0,195.4,198.57,2951569.0,200.0,195.4,198.57,200.0,2951569.0,SE,XNYS,2020-12-07 00:00:00+00:00,Sea Ltd,2951569.0
53,199.0,207.515,197.6,205.87,5915515.0,207.515,197.6,205.87,199.0,5915515.0,SE,XNYS,2020-12-08 00:00:00+00:00,Sea Ltd,5915515.0
52,208.55,212.33,200.4,202.68,3627568.0,212.33,200.4,202.68,208.55,3627568.0,SE,XNYS,2020-12-09 00:00:00+00:00,Sea Ltd,3627568.0
51,194.92,201.7,194.04,198.95,3969018.0,201.7,194.04,198.95,194.92,3969018.0,SE,XNYS,2020-12-10 00:00:00+00:00,Sea Ltd,3969018.0
50,194.3,195.9,190.25,193.38,6945671.0,195.9,190.25,193.38,194.3,6945671.0,SE,XNYS,2020-12-11 00:00:00+00:00,Sea Ltd,6945671.0
49,195.0,195.68,189.06,190.26,2889620.0,195.68,189.06,190.26,195.0,2889620.0,SE,XNYS,2020-12-14 00:00:00+00:00,Sea Ltd,2889620.0
48,191.5,191.7499,186.0,188.09,3005247.0,191.7499,186.0,188.09,191.5,3005247.0,SE,XNYS,2020-12-15 00:00:00+00:00,Sea Ltd,3005247.0
47,189.67,196.44,188.375,192.99,3706806.0,196.44,188.375,192.99,189.67,3706806.0,SE,XNYS,2020-12-16 00:00:00+00:00,Sea Ltd,3706806.0
46,195.46,198.445,194.03,198.05,2842472.0,198.445,194.03,198.05,195.46,2842472.0,SE,XNYS,2020-12-17 00:00:00+00:00,Sea Ltd,2842472.0
45,198.96,200.85,196.6,200.35,2633185.0,200.85,196.6,200.35,198.96,2633185.0,SE,XNYS,2020-12-18 00:00:00+00:00,Sea Ltd,2633185.0
44,197.0,201.5,192.85,196.9,3157735.0,201.5,192.85,196.9,197.0,3157735.0,SE,XNYS,2020-12-21 00:00:00+00:00,Sea Ltd,3157735.0
43,198.5,202.4123,196.5125,200.65,2245840.0,202.4123,196.5125,200.65,198.5,2245840.0,SE,XNYS,2020-12-22 00:00:00+00:00,Sea Ltd,2245840.0
42,199.74,200.335,194.36,195.07,1878640.0,200.335,194.36,195.07,199.74,1878640.0,SE,XNYS,2020-12-23 00:00:00+00:00,Sea Ltd,1878640.0
41,194.54,197.3,191.8,193.18,1132200.0,197.3,191.8,193.18,194.54,1132200.0,SE,XNYS,2020-12-24 00:00:00+00:00,Sea Ltd,1132200.0
40,193.25,194.5,178.8,180.28,5813487.0,194.5,178.8,180.28,193.25,5813487.0,SE,XNYS,2020-12-28 00:00:00+00:00,Sea Ltd,5813487.0
39,185.09,190.87,183.31,188.35,3111946.0,190.87,183.31,188.35,185.09,3111946.0,SE,XNYS,2020-12-29 00:00:00+00:00,Sea Ltd,3111946.0
38,190.0,197.5933,186.6796,196.75,2526256.0,197.5933,186.6796,196.75,190.0,2526256.0,SE,XNYS,2020-12-30 00:00:00+00:00,Sea Ltd,2526256.0
37,196.74,199.12,194.5286,199.05,3775330.0,199.12,194.5286,199.05,196.74,3775330.0,SE,XNYS,2020-12-31 00:00:00+00:00,Sea Ltd,3775330.0
36,200.75,203.11,191.87,196.06,4332655.0,203.11,191.87,196.06,200.75,4332655.0,SE,XNYS,2021-01-04 00:00:00+00:00,Sea Ltd,4332655.0
35,198.1,204.09,195.09,202.93,3297520.0,204.09,195.09,202.93,198.1,3297520.0,SE,XNYS,2021-01-05 00:00:00+00:00,Sea Ltd,3297520.0
34,201.58,204.12,193.91,194.37,3224764.0,204.12,193.91,194.37,201.58,3224764.0,SE,XNYS,2021-01-06 00:00:00+00:00,Sea Ltd,3224764.0
33,198.02,205.34,197.89,203.94,3392005.0,205.34,197.89,203.94,198.02,3392005.0,SE,XNYS,2021-01-07 00:00:00+00:00,Sea Ltd,3392005.0
32,205.94,213.6,202.43,210.16,4604433.0,213.6,202.43,210.16,205.94,4604433.0,SE,XNYS,2021-01-08 00:00:00+00:00,Sea Ltd,4604433.0
31,209.0,213.35,206.89,209.06,2553898.0,213.35,206.89,209.06,209.0,2553898.0,SE,XNYS,2021-01-11 00:00:00+00:00,Sea Ltd,2553898.0
30,214.38,218.57,212.4,218.48,4855409.0,218.57,212.4,218.48,214.38,4855409.0,SE,XNYS,2021-01-12 00:00:00+00:00,Sea Ltd,4855409.0
29,223.61,229.98,220.88,226.78,5065769.0,229.98,220.88,226.78,223.61,5065769.0,SE,XNYS,2021-01-13 00:00:00+00:00,Sea Ltd,5065769.0
